,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
121,The Callisto Protocol,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is a third-person shooter/survival horror game in which players assume the role of a prisoner (Jacob Lee) battling for survival in a prison on a distant moon in the future. Players explore prison and planet/moon locations; scavenge for clues, gear, and weapons; and battle mutated creatures in frenetic combat. Players use guns and a gravity tool, and engage in melee fighting (e.g., punching, stomping, using pipes as weapons) to defeat enemies. Some sequences depict Jacob killed in dramatic fashion: cut in half by giant fan blades; head repeatedly smashed into the ground; arms cut off; face sheared off. Blood-splatter effects occur during combat, and some attacks cause dismemberment or decapitation. Somel scenes depict disemboweled/mutilated human corpses, with missing heads and limbs. The words “f**k” and “sh*t” appear in the game."
122,Arkanoid - Eternal Battle,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Mild Fantasy Violence,No Interactive Elements,"This is a collection of classic puzzle/brick breaker games in which players bounce a ball into bricks and shapes to clear game boards. One game depicts a giant face, whose health meter must be depleted; the boss character makes grunting/groaning sounds of pain when hit by the player's ball."
123,Miraculous: Rise of the Sphinx,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an action platformer in which players assume the roles of two high-school students trying to save the people of Paris from a supervillain. From a third-person perspective, players traverse environments (e.g., city streets, rooftops, tunnels), interact with characters, and battle enemies in melee-style, close-quartered combat. Players use batons and yo-yo strikes to defeat cartoony enemies (e.g., robots, minions, mummies); fights are accompanied by impact sounds, screen-shaking effects, and cries of pain. Enemies generally disappear amid puffs of smoke and sparks."
124,Cult of the Lamb,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Fantasy Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of a possessed lamb brought back to life to create a cult following. Players traverse cartoony environments, attempt to rescue lost lambs, and use axes and daggers to battle enemy creatures (e.g., demons, evil monks, bats). Battles are highlighted by sword slashes, cries of pain, and screen-shaking effects. Enemies generally turn into skeletons and/or leave black stains when killed. Some environments depict impaled creatures on bloody spikes and blood stains on altars."
125,PAW Patrol Grand Prix ,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a kart-racing game in which players race with characters from the Paw Patrol TV show. As players race across various tracks, they can collect doggie biscuits and cartoony power-ups (e.g., pies, tornado shield, speed boosts) to help slow down opponents and win races."
126,Way of the Hunter,"Windows PC, PlayStation 5, Xbox Series","Blood,Language,Violence",No Interactive Elements,"This is a first-person hunting-simulation game in which players hunt for animals in the USA and Europe. Players can explore open-world environments while using realistic rifles to shoot and kill game (e.g., deer, birds, wolves, bears). Hunting is accompanied by realistic gunfire and blood-splatter, and blood stains on the ground. Scan-like images of bullet trajectories depict animals' bones/internal organs when shot. The word “sh*t” appears in the dialogue."
127,Demons of Asteborg,Nintendo Switch,"Blood and Gore,Fantasy Violence",No Interactive Elements,No Rating Summary
128,SteelRising,"Windows PC, PlayStation 5, Xbox Series","Blood,Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of Aegis, an automaton battling robot armies during the French Revolution. Players explore ruined revolution-era cities while fighting fantastical automatons in melee combat. Players use grenades, swords, lances, and bladed fans to deplete enemies' health bars. Battles are highlighted by impact sounds, explosions, and cries of pain. One sequence depicts a human character executed by guillotine--the camera pans away before the blade falls. Several locations depict large blood stains and piles of human corpses lying in pools of blood."
129,Within the Blade,PlayStation 4,"Blood and Gore,Violence",No Interactive Elements,No Rating Summary
130,Who Pressed Mute on Uncle Marcus?,PlayStation 4,"Drug Reference,Mild Blood,Strong Language,Violence",No Interactive Elements,No Rating Summary
131,Snowtopia,Stadia,No Descriptors,No Interactive Elements,"This is a simulation game in which players build and manage a ski resort. Players can build facilities, create new ski slopes, and improve the reputation of the resort."
132,Kombinera,"PlayStation 4, PlayStation 5",No Descriptors,No Interactive Elements,No Rating Summary
133,Bill and Ted's Excellent Retro Collection,"PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,"This is a collection of two arcade-style adventure games, in which players help Bill and Ted search for stranded historical figures. Players interact with 2D sprite-like figures, collect/search for items, and avoid hazards (e.g., torches) and pixelated enemies, one of whom can shoot players with a pistol. Damage is usually indicated by characters blinking and/or falling off screen."
134,Mind Scanners,Nintendo Switch,"Drug Reference,Strong Language,Suggestive Themes",No Interactive Elements,No Rating Summary
135,Exit the Gungeon,"PlayStation 4, Nintendo Switch","Fantasy Violence,Mild Language,Use of Tobacco",No Interactive Elements,No Rating Summary
136,Made in Abyss: Binary Star Falling into Darkness,"PlayStation 4, Nintendo Switch","Blood and Gore,Violence",No Interactive Elements,"This is an action role-playing game, based on a manga/anime, in which players follow the story of children exploring a strange abyss filled with monsters. From a third-person perspective, players collect resources, explore landscapes, interact with characters, and battle monsters in melee combat. Death scenes can be dramatic, as child-like characters are seen impaled on spikes, disemboweled, covered in blood, and eaten by monsters. One cutscene briefly depicts a young character removing her eyeballs. Characters sometimes emit large splatters of blood, before falling to the ground; some deaths are briefly depicted in first-person, with blood splattering the camera."
137,Tempest 4000,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
138,Black Widow - Recharged,"PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
139,Asteroids: Recharged,"PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
140,Centipede: Recharged,"PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
141,Airoheart,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Fantasy Violence,Mild Blood",No Interactive Elements,"This is an action-adventure game in which players assume the role of an adventurer on a quest to save a fantasy kingdom. From a top-down perspective, players explore dungeons and forests, solve puzzles, and use weapons (e.g., swords, bombs) to defeat stylized, 16-bit enemies (e.g., small zombies, cyclops, skeletons). Battles are accompanied by sword slashing, cries of pain, and mild explosions; enemies generally disappear amid puffs of smoke when defeated. In one sequence, a small blood trail is shown leading to a wounded character."
142,Panzer Dragoon: Remake,Nintendo Switch,"Animated Blood,Fantasy Violence",No Interactive Elements,"This is a third-person shooter in which players assume the role of a dragon-riding fighter battling an evil empire in a post-apocalyptic world. Players ride a dragon and follow “on rails” paths through each level. Combat can be frenetic, with players shooting enemy airships and creatures, resulting in explosions and/or enemies bursting apart. Boss battles depict more protracted combat, with frequent missile and gunfire sound effects. One cutscene depicts a crushed scorpion-like creature in a pool of purple blood."
143,Piofiore: Episodio 1926,Nintendo Switch,"Blood,Drug Reference,Strong Language,Violence",No Interactive Elements,"This is a visual novel in which players assume the role of a woman navigating mafia organizations in 1920s Italy. As players progress through the story, they can make choices that impact the narrative. Some choices lead to instances of violence, depicted in still-screen sequences: a character stabbed (off-screen); two men exchanging gunfire; a character shot to death (off-screen). Blood effects sometimes are depicted, mostly as splatters/smears on screen. The game contains references to drugs/drug deals, specifically heroin. The words “f**k” and “sh*t” appear in the game."
144,Tactics Ogre: Reborn,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players assume the role of a knight caught between warring factions in a fictional world. From a 3/4-overhead perspective, players take turns selecting attack moves/skills from a menu to defeat enemies on grid-like battlefields. Characters use swords, guns, and magic spells to attack enemies; battles are highlighted by impact sounds and grunts of pain. Cutscenes depict further instances of violence: characters stabbing themselves; knights slashing civilians; a bound man whipped for information. One cutscene depicts small bloodstains on a knife after a stabbing; some character portraits also depict bloodstained faces. Some female characters are designed with revealing outfits (e.g., deep cleavage); the dialogue references suggestive material (e.g., “Elders beaten, women...defiled”; “She's yours. Enjoy the spoils of war”; “We'll put her to good use, won't we boys?”). The words “b*tch,” “a*se,” and “bastard” appear in dialogue."
145,XIII,PlayStation 5,"Blood,Strong Language,Violence",No Interactive Elements,"This is a first-person shooter, based on the comic XIII, in which players assume the role of an amnesiac running from assassins and the FBI. Players use various weapons (e.g., pistols, shotguns, machine guns, knives) and melee attacks/punches to attack and kill enemies. Combat is highlighted by gunfire, cries of pain, and blood-splatter effects; corpses can be seen lying in pools of blood during some sequences. Although the game is depicted in a stylized, cell-shaded art style, some attacks are highlighted by comic panels that focus on the kills (e.g., a successful knife throw to an enemy's head). The words “f**k” and “sh*t” appear in the dialogue."
146,PONG Quest,PlayStation 4,No Descriptors,No Interactive Elements,No Rating Summary
147,Breakout: Recharged,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,No Rating Summary
148,Five Nights at Freddy's: Security Breach,"Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an exploration/horror game in which players assume the role of a young boy (Gregory) trapped overnight in an entertainment center filled with robotic staff and animatronic animals. From a first-person perspective, players explore the dark complex while solving puzzles and using stealth to avoid getting caught. Characters mostly grab Gregory and scream whenever players fail to stay hidden, though some actions result in violence: robots repeatedly beating the targeted character; animatronics struck by bumper cars; a character crushed inside a trash compactor. The game contains frequent screams and jump scares, as players are attacked without warning."
149,Super Bullet Break,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is a strategy/deckbuilder game in which players help characters hack an online video game to battle a rouge AI. Players battle the AI system in turn-based combat using collectible character cards known as Bullets. Each character card/bullet is associated with attack/defense points and are used (with targeting crosshair) to defeat human characters and fantastical creatures (e.g., robots, bugs, demons). Battles are highlighted by impact sounds, bursts of light, and cries of pain. Some character cards depict female characters wearing revealing outfits (e.g., deep cleavage, partially exposed buttocks) in suggestive poses (e.g., straddling wands, bent over, reclined with legs in the air). The word “a*s” appears in the game."
150,New Tales from the Borderlands,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Partial Nudity,Sexual Themes,Strong Language,Use of Alcohol",No Interactive Elements,"This is a narrative-driven adventure game in which players follow the story of characters on a quest to harness the power of a crystal. As players progress through the story, they can perform action choices by following onscreen prompts. Some choices lead to intense acts of violence: a close-up of a woman stabbed in the neck; a man shot through the chest; a character stabbed in the eye—blood-splatter effects accompany these sequences. A handful of scenes depict decapitated corpses, dismembered limbs, and exposed organs. The game contains some references to sexual material in the dialogue (e.g., “I'm riddled with STDs”; “May Heaven be one big orgy""; ""...all they want to do is fornicate...""; ""You said 'that ain't good' and I said 'title of our sex tape.' Because we'd have sex.""). Some female characters appear partially nude, with close-up depictions of exposed breasts and buttocks, though with no discernible details (i.e., no nipples). During the course of the game, players' character can use a funnel contraption (Booze Luge) to repeatedly consume champagne. The words “f**k” and “sh*t” are heard in the game."
151,Prinny Presents NIS Classics Volume 3: La Pucelle: Ragnarok / Rhapsody: A Musical Adventure,Nintendo Switch,"Blood,Fantasy Violence,Mild Language,Suggestive Themes,Use of Tobacco",No Interactive Elements,"This is a compilation of two strategy role-playing games in which players follow the story of demon hunters trying to save characters in a fantasy world. From a 3/4-overhead perspective, players engage in turn-based combat against fantastical creatures (e.g., demons, zombies, cat people) on grid-based battlefields. Players choose weapon and magic attacks from a menu to battle enemies. A handful of sequences depict additional acts of violence and/or blood: a character in silhouette impaled by spears; a crucified woman impaled by spears, causing blood to pool underneath her; a message written in blood on a wall. The games contain references to suggestive material in the dialogue (e.g., “…[She] got big hooters. But I didn't know she had owls”; “Master Myoa's flat-chested”; “Get away from me, you pervert.”). Some female characters are designed with revealing outfits (e.g., deep cleavage) and jiggling breasts. A handful of monsters are depicted topless, though with no discernible details (i.e., no nipples). One character is frequently shown lighting up and smoking a cigarette. The words “bastard” and “p*ss me off” appear in the game."
152,Victoria 3,"Macintosh, Windows PC","Mild Blood,Mild Suggestive Themes,Mild Violence,Partial Nudity,Use of Drugs",No Interactive Elements,"This is a strategy game in which players manage a Victorian-era nation to economic and social prosperity. Players develop their nation's economic growth, engage in politics, and make policy decisions on varied topics (e.g., slavery, treaties, warfare). When nations engage in warfare, a top-down view of bases/encampments firing upon each other is depicted on a map. Some political decisions reference violence in text (e.g., “… use of mustard gas against a civilian population…”; “An ardent abolitionist died in a fire fight with a pro slavery mob.”), with still images of characters shot and civilians beaten. One still image depicts a whale harpooned, with small splatters of blood. The game contains brief references to suggestive/sexual material (e.g., “Police have shut down a notorious male brothel”; “This character has caught Syphilis...""). Some female characters are depicted partially topless, with exposed nipples. One still-image shows a man smoking opium."
153,Dusk Diver 2,"PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action game in which players assume the role of a college student battling invading creatures from another dimension. Players explore city environments, interact with characters, complete quests, and battle fantastical creatures (e.g., robots, demons, cyber beasts) in melee-style combat. Players use punches, kicks, and a variety of weapons (e.g., scythes, chainsaws, pistols) to defeat enemies. Battles are frenetic, highlighted by impact sounds, colorful light effects, and cries of pain. Some characters are designed with revealing outfits (e.g., deep cleavage, partially exposed buttocks), and breasts that jiggle during combat and cutscenes. The words “a*s” and “bastard” appear in the dialogue."
154,Galactic Wars EX,PlayStation 4,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
155,HYPER SENTINEL,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
156,Kirby's Dream Buffet,Nintendo Switch,Mild Cartoon Violence,No Interactive Elements,"This is a collection of minigames (e.g., party games) in which players assume the roles of Kirby characters as they compete to eat the most food. Players compete in various races and engage in a whimsical Battle Mode, slamming into small opponents and using power ups (e.g., needle, pepper) to knock cartoony characters off tracks/platforms. Kirby yelps when knocked out of bounds, and gets dizzy when hit with an item or hazard."
157,DEEEER Simulator: Your Average Everyday Deer Game,"PlayStation 4, Nintendo Switch",Violence,No Interactive Elements,No Rating Summary
158,Life is Strange 2 ,Stadia,"Blood,Partial Nudity,Sexual Content,Strong Language,Use of Drugs and Alcohol,Violence",No Interactive Elements,"This is an adventure game in which players follow the story of a teenager (Sean) and his younger brother as they run from police, search for their mother, and struggle to survive. As players explore environments, they can make dialogue and action choices that influence the outcome/progression of the story (e.g., whether to steal, lie, cause physical harm). Some cutscenes depict acts of violence: a man shot by a police officer; a man punching, kicking, and pistol-whipping a teenager; young characters getting shot (usually off-screen); humans and animals flung to their deaths. Blood sometimes appears on wounded or dead characters and animals. The game contains sexual material and instances of nudity: a woman with exposed breasts and buttocks; a woman straddling a man inside a tent; dialogue referencing sexuality (e.g., “We are just f**k buddies”; “We can be our true selves, nobody's telling me whose d*ck to suck…”). During the course of the game, a handful of sequences allow the player's character to smoke marijuana; the game also depicts underage drinking and smoking. The words “f**k” and “sh*t” are heard in the game."
159,Miss Kobayashi's Dragon Maid: Burst Forth!! Choro-gon ☆ Breath,"PlayStation 4, Nintendo Switch","Fantasy Violence,Partial Nudity",No Interactive Elements,"This is an action shooter in which players rotate control between three characters as they battle their way through levels in a computer. From a top-down perspective, players shoot and avoid waves of colorful projectiles flying around the screen; enemy creatures (e.g., goblins, skeletons, slimes) and bosses explode into fiery bursts when defeated. Some female characters are depicted with ripped clothing after being injured during gameplay; still images appear on screen, depicting characters with small scraps of fabric barely covering their breasts and/or pelvic region."
160,Eldest Souls,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Fantasy Violence",No Interactive Elements,No Rating Summary
161,Captain ToonHead vs The Punks from Outer Space,PlayStation 4,"Fantasy Violence,Mild Language",No Interactive Elements,"This is a first-person shooter/tower-defense game in which players assume the role of a spaceship janitor trying to save Earth from evil forces. Players move between stationary positions as they build turrets and use fantasy weapons (blasters, flip-flops shooting projectiles, hammers emitting energy) to defeat energy-cube creatures. First-person combat can be frenetic at times, highlighted by laser gunfire, cries of pain, and large explosions. The words “a*s” and “bastard” appear in the game."
162,Teenage Mutant Ninja Turtles: Shredder's Revenge,"PlayStation 4, Nintendo Switch, Xbox One",Fantasy Violence,No Interactive Elements,"This is an action game in which players help the Teenage Mutant Ninja Turtles defeat the villain Shredder. Players traverse 2D side-scrolling levels and use punches, kicks, and cartoony weapons (e.g., swords, nunchucks, hockey sticks) to battle enemies (e.g., foot soldiers, robots, large boss characters). Combat is sometimes frenetic, highlighted by impact sounds, mild explosions, and screen-shaking effects."
163,Fallen Legion Revenants,"Windows PC, PlayStation 5, Xbox One, Xbox Series","Fantasy Violence,Mild Language",No Interactive Elements,"This is an action role-playing game in which players assume the roles of characters on a quest to stop an evil tyrant. Players traverse side-scrolling landscapes, interact with characters, and battle human and fantasy creatures (e.g., zombies, demons, phantoms) in turn-based combat. Characters use swords, crossbows, guns, and magic attacks to defeat enemies. Battles are accompanied by impact sounds, large explosions, and cries of pain. The game contains some dark thematic elements: references to child imprisonment and torture; dialogue choices pertaining to prisoner executions. The words “bastard” and “b*tch” appear in the dialogue."
164,Fallen Legion: Rise to Glory,"PlayStation 5, Xbox One, Xbox Series","Fantasy Violence,Language,Mild Blood,Mild Suggestive Themes",No Interactive Elements,"This is a collection of two role-playing games in which players control fighters trying to save a fictional empire. From a side-scrolling perspective, players move through landscapes, interact with characters, and battle human and fantastical creatures (e.g., dragons, goblins, lizard men). Characters use swords, axes, arrows, and magic attacks (e.g., fireballs) to defeat enemies. Battles are highlighted by cries of pain and brief explosions. A handful of still-images depict characters with streaks of blood on their faces and/or clothing. The game contains instances of suggestive material: a female character in a skin-tight body suit; a limerick with the line, “The princess would belong to him/And serve his needs in bed.” The words “a*s,” “bastard,” and “b*tch” appear in the dialogue."
165,Atari 50: The Anniversary Celebration,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Drug Reference,Fantasy Violence,Language,Mild Sexual Themes",No Interactive Elements,"This is a collection of classic Atari games from a variety of platforms (e.g., 2600, 5200, Atari 800). Some games allow players to engage in one-on-one fights using human-like characters to punch and kick each other as they attempt to deplete opponents' life meters (successful hits are accompanied by splashes of blood). Other games include space shooters, dungeon crawlers, and mining games with cartoony explosives used to defeat monsters. The collection includes artifacts and video interviews from key figures/moments in historical gaming eras: one interview references a pedophile in the context of a game (depicted as a small unclothed figure with a censor bar over his crotch); other interviews reference drug use (e.g., marijuana, cocaine, psilocybin). The word ""sh*t"" can be heard during interviews."
166,Aggelos,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,"This is an action platformer in which players use elemental powers to battle evil beings from another dimension. From a side-scrolling perspective, players traverse platforms while using swords and magical projectiles (e.g., fireballs, blasts of energy) to defeat monsters and boss creatures. Enemies mostly burst into coins when defeated. Boss battles depict more frenetic gameplay, with several projectiles and enemies attacking/crowding the screen."
167,Ocean's Heart,Nintendo Switch,"Alcohol Reference,Mild Fantasy Violence",No Interactive Elements,No Rating Summary
168,The Last of Us Part 1,PlayStation 5,"Blood and Gore,Intense Violence,Sexual Themes,Strong Language,Use of Alcohol",No Interactive Elements,"This is an action game in which players assume the roles of Joel and Ellie, human survivors battling their way through a post-apocalyptic world. From a third-person perspective, players traverse through city ruins and use a variety of weapons (e.g., pistols, rifles, explosives, spiked bats, steel pipes, blades) and melee attacks to fight off infected mutants and other human survivors. Players can also employ stealth kills (e.g., strangulations, pistol executions, stabbing attacks) and engage in extended combat sequences involving close-up camera angles and on-screen prompts. Screams of pain, realistic gunfire, and blood-splatter effects accompany the combat. Several attacks result in decapitation or dismemberment; body parts are depicted in some areas (e.g., chopping blocks). Cutscenes also depict intense acts of violence: a young character dying from gunshot wounds; adult characters executed at point-blank range; enemy characters being interrogated and stabbed in the knee. During the course of the game, a character makes sexual remarks about an adult magazine (e.g., ""Whoa. How the hell would he even walk around with that thing” and “Oh why are these [pages] all stuck together?”). One scene allows the player to decide whether a young character drinks alcohol. The words “f**k,” “sh*t,” and “a*shole” appear in the dialogue."
169,Martian Panic,Nintendo Switch,Fantasy Violence,No Interactive Elements,"This is a first-person shooter in which players attempt to save Earth from a Martian invasion. As players move on rails through cartoony environments (e.g., city streets, farms, diners), they use pistols, shotguns, and laser blasters to shoot enemies (e.g., Martians, UFOs, drones). Combat can be frenetic, highlighted by frequent gunfire, laser/blaster sounds, and explosions. Human civilians are often depicted fleeing and screaming, and can be accidentally shot by players, resulting in skull and crossbones floating up into the sky."
170,Slaycation Paradise,"PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Strong Language,Suggestive Themes,Violence",No Interactive Elements,"This is a shooter game, with tower-defense elements, in which players help a man on vacation survive his dimensional travels. From a top-down perspective, players fight for survival using pistols, machine guns, and shotguns to kill hordes of creatures (e.g., demons, living sex-dolls, mutated luchadores). Players also build turrets and barricades to fend off waves of enemies. Battles are frenetic, accompanied by realistic gunfire, explosions, and large blood-splatter effects. Some weapon attacks cause enemies to explode into pieces, causing entrails to hit players' screen. The game contains some suggestive/sexual material: dialogue stating “…you rubbed nubs with that crap sack Lorik” and “This is where we…measure our proverbial members against each other”; a level with red-light district signs reading “XXX,” “Fish & Chips + Naked Chicks”; a neon sign with the words “Now Open” between spread-open legs. The words “f**k” and “sh*t” appear in the game."
171,Horse Club Adventure 2: Hazelwood Stories,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a horse-riding simulation game in which players return for an autumn vacation at a seaside village. Players interact with friends as they complete missions and activities (e.g., dressage, horse jumping, racing) to earn rewards and items."
172,Rollerdrome,"Windows PC, PlayStation 4, PlayStation 5","Blood,Strong Language,Violence",No Interactive Elements,"This is sports-action shooter in which players assume the role of a competitor in a futuristic death sport called Rollerdrome. From a third-person perspective, players roller skate within enclosed arenas, perform tricks, and use pistols, shotguns, and grenade launchers to attack enemies. Players must kill a set number of human enemies and/or mechanized robots within a time limit. Battles are often frenetic, accompanied by explosions, slow-motion effects, and cries of pain. Blood splatter effects are also depicted as characters are hit/injured. The word “f**k” appears in the game."
173,Flippin Misfits,Windows PC,Fantasy Violence,No Interactive Elements,"This is an action game in which players engage in multiplayer brawls using a gang of young space travelers called Misfits. From a third-person perspective, players use bat-like melee weapons to strike opponents during fast-paced fights. Brawls are highlighted by gravity effects and bodies that get tossed around (i.e., ragdoll physics) when defeated."
174,Maquette,"Nintendo Switch, Xbox One, Xbox Series","Alcohol Reference,Lyrics",No Interactive Elements,"This is a puzzle game in which players manipulate environments while following a modern-day love story. From a first-person perspective, players explore everyday problems in a relationship and use a variety of objects to reach new areas. Some of the conversations involving a couple mention alcohol (e.g., ""Oh, good you got beer""; ""...in a public park drinking wine""; ""...I was too drunk at that New Year's party.""). Accompanying song lyrics contain allusions and references to controlled substances and/or drugs (e.g., “There's no remedy/But the drugs help till I'm ready”; “World war one brand smokes/lit with rolled matches...""; “We'll drink until our brains black out”)."
175,Hidden Objects Collection Volume 4,Nintendo Switch,"Alcohol Reference,Mild Language,Use of Tobacco",No Interactive Elements,No Rating Summary
176,CRISIS CORE -FINAL FANTASY VII- REUNION,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Violence",No Interactive Elements,"This is an action/role-playing game in which players follow the adventures of Zack Fair, a special forces member trying to uncover a plot and save a fantastical world. From a third-person perspective, players explore various environments and towns while battling enemies in melee and occasional ranged combat. Players use oversized swords and, during one mission, sniper rifles to kill enemy guards and fantastical creatures (e.g., fire monsters, ghouls, demons). One sequence depicts a character attacked by soldiers; a cutscene depicting the aftermath shows corpses laying in pools of blood and with blood splattered on faces, clothing, and weapons. A handful of other cutscenes depict characters impaled by swords."
177,Outbreak Contagious Memories,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,No Rating Summary
178,Hooked on You: A Dead by Daylight Dating Sim™,Windows PC,"Blood,Language,Suggestive Themes,Use of Alcohol,Violent References",No Interactive Elements,"This is a visual novel in which players try to regain their memories while romancing four killers. As players follow the story, they make dialogue choices and engage in mini-games that influence the outcome of events. Some scenes contain violent themes and/or detailed descriptions of violent acts (e.g., “I threatened to kill every single person on this island”; “There, in…the box, was a pile of…pieces. Like parts of doll, almost, pulled apart…”; “A collection of segments, limbs, pieces….Clearly severed and placed in a neat little pile”; ""Can I kill them or not?”). Characters are sometimes depicted with bloodstained hands, weapons, or clothing; one gallery image depicts a character with a bloody wound on their chest. Some female characters wear revealing outfits (e.g., low-cut bikinis, large amounts of cleavage); the dialogue also contains some suggestive material (e.g., “This ain't a peep show...All make-outs will happen out of view of the public eye”; ""...[N]o one will ever be quite as interesting to make love to as a vampire…”). One sequence allows players' character to order from a list of alcoholic drinks; a mini-game involves characters drinking shots of alcohol. The words “sh*t” and “p*ssy” appear in the game."
179,Inscryption,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Strong Language,Violence",No Interactive Elements,"This is a card-based deck-building game in which players battle a mysterious force while building their card decks, solving puzzles, and overcoming challenges. Gameplay mostly consists of card-based battles in which players attempt to defeat opponents by using animal-themed cards that slash, bite, or divebomb opponents' cards. One cutscene depicts first-person video footage of a man getting shot; the camera falls to the ground as a large blood pool is seen. The word “f**k” appears in the game."
180,King's Bounty 2,PlayStation 5,"Alcohol Reference,Mild Blood,Mild Language,Mild Suggestive Themes,Violence",No Interactive Elements,"This is a role-playing game in which players perform quests and explore worlds while following a non-linear storyline. From a third-person perspective, players move around environments, interact with characters, and engage in combat. Battles against units (e.g., soldiers, monsters, animals) are depicted on hexagonal grid-like battlefields, highlighted by cries of pain, impact/clashing sounds, and brief puffs/clouds of blood. Cutscenes depict further instances of violence: a man stabbing himself; a bound prisoner struck with a blade; another character stabbed in the back. The game contains some suggestive material in the dialogue (e.g., “One pinch, amorous passion.../""...speaking of amorous passion, I'm an assassin not a master of the bedchamber""; ""...[T]hen I'll throw you down in the tall grass and…""/""...Ah, it gets rather personal after that bit.""). In some scenes, characters discuss wine, booze, and drunkards/drunkenness. The words “bastard” and “a*s” appear in dialogue."
181,Little League World Series Baseball 2022,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a baseball simulation game in which players compete with Little League teams to win the Little League World Championship. Players can practice catching, throwing, and pitching, as well as compete in various modes (e.g., Exhibition, Quickplay, Tournament)."
182,Thymesia,"PlayStation 5, Xbox Series","Blood,Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of a character on a quest to save a kingdom from plague. From a third-person perspective, players explore various locations (e.g., towns, dungeons, ruins), while battling mutant creatures and infected inhabitants. Players use swords and claws to kill enemies in frenetic melee-style combat. Battles are highlighted by impact sounds, cries of pain, and large blood-splatter effects. Players can perform finishing attacks on weakened enemies, often resulting in close-up impaling with blood and slow-motion effects. Some areas depict large blood stains and/or corpses lying in large pools of blood."
183,F1 Manager 2022,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",Mild Language,No Interactive Elements,"This is a racing simulation game in which players assume the role of a Team Principal for a real-world Formula 1 team. Players can manage the team's facilities, set racing strategies, and race various cars on tracks. Some language in the game is partially censored by audible bleeps (e.g., “For [bleep] sake, man”; “Ah man, that was such [bleep]""; “I am a [bleep] idiot!”)."
184,Tunche,"PlayStation 4, Nintendo Switch","Fantasy Violence,Language",No Interactive Elements,No Rating Summary
